id,start_date,end_date,dates_txt,latitude,longitude,location_label,zoom,involved_countries,title,text,photography,photo_caption,photo_credits,additional_material,additional_material_caption
event_11,01.01.1915,01.04.1915,Januar bis April 1915,49.2115,22.7672,Karpaten,1270,Austria Hung|Russia,Schlacht in den Karpaten,"Als eine der verlustreichsten Schlachten des Ersten Weltkriegs gilt die Winterschlacht in den Karpaten zwischen der österreichisch-ungarischen und der russischen Armee: Fast 800'000 Soldaten werden getötet. Die Angaben zu den Kriegsverlusten im Verlauf des Ersten Weltkriegs schwanken zwischen 6 und 13 Millionen Todesfällen auf den Schlachtfeldern. Die Entente setzt mehr als 40 Millionen Mann ein, die Mittelmächte rund 25 Millionen Soldaten. Aufseiten der Entente sterben 5,3 Millionen Soldaten, die Mittelmächte beziffern die militärischen Todesfälle auf mehr als 3 Millionen.",11---Russen-passieren-Kaparten,Eine russische Division in den Karpaten.,leb.nlr.ru,,
event_12,22.02.1915,,,54.4962,4.9205,Nordsee,1270,UK|Germany|France|US,Deutschland eröffnet den U-Boot-Krieg,"Mit Kriegsbeginn errichtet Grossbritannien zunächst im Nordatlantik und in der Nordsee, später im Mittelmeer eine Seeblockade gegen Deutschland und dessen Verbündete. Als Reaktion auf die britische Fernblockade setzt die deutsche Seekriegsleitung auf den völkerrechtswidrigen Krieg zur See und unter Wasser. Ziel ist die Unterbindung des Seehandels von Grossbritannien und Frankreich. Aber nicht zuletzt trifft der U-Boot-Krieg auch amerikanische Schiffe. Dieses Vorgehen Deutschlands provoziert die bis anhin neutralen USA, die markante Beeinträchtigungen ihres Handels fürchten.",13---U-Bootkrieg_versenkt_SS-Maplewood,Der britische Dampfer SS «Maplewood» wird nach einem vierstündigen Feuergefecht auf dem Mittelmeer durch einen Überwassertorpedo vernichtet.,Deutsches Bundesarchiv,,
event_13,15.04.1915,30.05.1915,April bis Mai 1915,50.849227,2.877939,Ypern,,Germany|Belgium,Zweite Flandernschlacht und erster Einsatz von Giftgas,Deutschland setzt während der zweiten Flandern-Schlacht bei Ypern erstmals Giftgas ein und verstösst damit gegen die Haager Landkriegsordnung. Die belgische Stadt am Yser-Kanal gilt für vier Jahre als Mittelpunkt des Stellungskriegs zwischen der Entente und den Mittelmächten. Mit dem Einsatz von giftigem Chlorgas am 22. April 1915 schlägt Deutschland ein trauriges Kapitel in der modernen Kriegsführung und Massenvernichtung auf.,14---British_55th_Division_gas_casualties_10_April_1918,"Angehörige der britischen 55. Division, geblendet von Gas, am 10. April 1918.",IWM,,
event_14,26.04.1915,,,41.872389,12.48018,Rom,,Italy|UK|France|Russia,Italien schliesst sich der Entente an,"Die alliierten Mächte Grossbritannien, Frankreich und Russland schliessen mit der italienischen Regierung ein Geheimabkommen, den Londoner Vertrag. Als Gegenleistung wird Italien die Anerkennung verschiedener territorialer Ansprüche zugesichert. Dieser Vertrag führt zum Kriegseintritt Italiens im Mai 1915.",15---london-vertrag-WWIMap-5,Eine humoristische Karte zeigt Europa im Jahr 1915 und den Geheimplan zwischen den Entente-Mächten und Italien.,Humboldt State Univesity,,
event_15,07.05.1915,,,50.978,-8.753,Vor der Südküste Irlands,,UK|Germany|US,Versenkung des britischen Passagierdampfers «Lusitania»,"Im Zuge des U-Boot-Kriegs torpediert ein deutsches U-Boot das britische Passagierschiff «Lusitania» auf seiner Fahrt von New York nach Liverpool vor der Südküste Irlands. Von den rund 2000 Personen an Bord kommen 1198 ums Leben, unter ihnen auch 127 amerikanische Staatsangehörige. Die Torpedierung des Schiffes führt zu internationalen Protesten, auch der USA. Entgegen den Forderungen seiner Berater entscheidet sich der amerikanische Präsident Wilson zunächst gegen den Kriegseintritt der USA. Auch die deutsche Propaganda und die britische machen sich den Vorfall zunutze.",16---Untergang_der_Lusitania,"Gemälde der Versenkung des Passagierdampfers RMS «Lusitania» durch das deutsche U-Boot «U 20» (7. Mai 1915).
",Kommando der Volksmarine / Deutsches Bundesarchiv,,
event_16,02.07.1915,,Anfang Juli 1915,51.673242,22.656329,Bug,,Austria Hung|Germany|Russia|France,Beginn der Bug-Offensive,"Deutsche und österreichisch-ungarische Truppen unternehmen einen Vorstoss gegen die russische Armee im Norden Galiziens. Der Name der Offensive ist zurückzuführen auf den Fluss Bug, der in Galizien entspringt. Die hohen militärischen Verluste bewegen Russland dazu, den «Grossen Rückzug» bis in das Gebiet der heutigen Ukraine und Belarus' einzuleiten. Die alliierten Militärchefs treffen sich auf einer Konferenz im französischen Chantilly und stimmen über die Herbstoffensive ab.",17---Russland_Bauern_auf_der_Flucht,"Fliehende russische Bauern mit Pferdegespannen auf einer Landstrasse, November 1915.",Deutsches Bundesarchiv,,
event_17,09.07.1915,,,-22.57,17.083611,Deutsch-Südwestafrika,658,Germany|GerSW Africa,Kapitulation der Kolonie Deutsch-Südwestafrika,"Die Kolonie Deutsch-Südwestafrika erstreckt sich zwischen Angola, Südafrika, Botswana und dem heutigen Namibia. Im Norden von Deutsch-Südwestafrika kapituliert der deutsche Gouverneur und Vorsteher der deutschen Schutztruppen Theodor Seitz im Juli 1915. Südafrika übernimmt nach der Eroberung die Verwaltung eines Schutzgebiets. Die rigide Politik gegenüber der afrikanischen Bevölkerung wird weitergeführt. Nach Kriegsende werden 6400 deutsche Staatsbürger des Landes verwiesen.",18---Namibia-1914-1915_Westenfeld,"Deutsche Truppen in Deutsch-Südwestafrika, dem heutigen Namibia.",Tsumeb Museum,,
event_18,08.09.1915,,,51.508515,-0.125487,London,,UK|Germany|France,Angriffe durch Zeppeline auf London,"Zeppeline sind ein Novum in der Kriegsführung. Im Verlauf des Kriegs werden insgesamt 51 Angriffe deutscher Luftschiffe auf Grossbritannien verzeichnet. Um die Bevölkerung zu demoralisieren, bombardiert Deutschland die Hauptstadt London. Auch die französische Hauptstadt Paris ist Ziel der Angriffe aus der Luft. In der Nacht vom 8. auf den 9. September fordern die Bombardements 22 Opfer und viele Verletzte; die Londoner Innenstadt steht in Flammen.",12---london-zeppelin-1915,Einsatz von Feuerwehrleuten nach einem Luftangriff auf London.,IWM,,
event_19,21.02.1916,15.12.1916,21. Februar bis Mitte Dezember 1916,49.15894,5.386757,Verdun,,UK|Germany|France,Kämpfe um Verdun,"An der Westfront zwischen Deutschland und Frankreich findet die Schlacht um die Festung Verdun statt, den Eckpfeiler der französischen Front. Sie beginnt im Februar 1916 mit dem Angriff der deutschen Truppen auf die französische Festung und endet ohne wesentliche Verschiebung des Frontverlaufs. Es kommt schätzungsweise zu 700'000 Gefallenen und Verwundeten. In diesem Jahr wird in Grossbritannien die Wehrpflicht eingeführt.",19---verdun_1916,Ein ehemals deutscher Schützengraben wird nach der Schlacht von Verdun von französischen Soldaten eingenommen.,United Archives / Imago,6. Yearly Recruitment in UK,
event_20,31.05.1916,01.06.1916,,57.485,7.7352,Im Skagerrak,,UK|Germany,Seeschlacht im Skagerrak,"Die Seeschlacht im Skagerrak, dem Meeresgebiet zwischen Jütland und Norwegen, zwischen der deutschen und der britischen Flotte bringt keine Wende in der strategischen Ausgangslage des Krieges. Grossbritannien kann die Seeblockade bis zum Ende des Kriegs aufrechterhalten. Diese Seeschlacht gilt als grösste des Ersten Weltkriegs.",20---Seeschlacht-Skagerrak-Jutland-1916,Ein ehemals deutscher Schützengraben wird nach der Schlacht von Verdun von französischen Soldaten eingenommen.,AP / Keystone,,
event_21,01.07.1916,25.11.1916,,49.914518,2.27071,Somme,,UK|Germany|France,Schlacht an der Somme,Mit der britisch-französischen Grossoffensive beginnt die fünfmonatige Schlacht an der Somme. Diese Schlacht zählt mit mehr als einer Million getöteter und verwundeter Soldaten zu den verlustreichsten des Krieges. Es werden erstmals Panzer eingesetzt. Trotz Einsatz von Mensch und Material gelingt den Alliierten nur ein geringer Geländegewinn. Der Krieg entwickelt sich mehr und mehr zum «Abnutzungskrieg». In Zuge der erfolgreichen Angriffe der französischen Truppen im Herbst und Winter 1916 erobern diese Teile des Befestigungswerks von Verdun von den Deutschen zurück.,21---Schlacht_von_Somme-1916,Soldaten passieren nach der Schlacht an der Somme ein ausgebranntes Waldstück. ,United Archive / Imago,,
event_22,17.08.1916,,,44.4325,26.103889,Bukarest,,Romania|Bulgaria|Austria Hung|Germany|TurkishEmpir,Rumänien tritt der Entente bei        ,"Mit dem Kriegseintritt Bulgariens fürchtet Rumänien den Verlust der im Frieden von «Bukarest» zugewonnenen Gebiete. Die Entente verspricht Rumänien Sicherheit. Daraufhin gibt das Land seine Neutralität auf und tritt der Allianz bei. Rumänien erklärt zunächst Österreich-Ungarn den Krieg. Der Kriegslogik folgend, erklären die Bündnispartner der Doppelmonarchie, Deutschland, Bulgarien sowie das Osmanische Reich, am 28. August 1916 Rumänien den Krieg. Bis Ende des Jahres 1916 wird mehr als die Hälfte Rumäniens von Truppen der Mittelmächte besetzt.",22---Rumaeninen_erobert,"General von Falkenhayn, Kommandant der neunten Armee an der rumänischen Front, 1916.",United Archives / Imago,,
event_23,28.08.1916,,,41.872389,12.48018,Rom,,Italy|Germany|Austria Hung,Kriegserklärung Italiens an Deutschland,"Italien und Österreich-Ungarn stehen bereits im Krieg. Nach der Logik der Bündnistreue bedeutet dies, dass sich Italien auch mit Deutschland im Krieg befindet. Durch die Kriegserklärung Italiens an Deutschland wird dies dann offiziell.",23---Italien_im_Krieg-1916,"Mitglieder der italienischen Artillerie auf einer Bergstrecke, 1916.",Bibliothèque nationale de France,,
event_24,01.11.1916,01.02.1917,Winter 1916/17,52.520007,13.404954,Berlin,,Germany|Austria Hung,Hungersnot und «Kohlrübenwinter»,"Die lange Kriegsdauer, die Blockade von Lebensmittelimporten und die Ausbeutung der von den Mittelmächten besetzten Gebiete führen zu Hungersnöten. Besonders betroffen sind die deutsche und die österreichisch-ungarische Bevölkerung. Der Winter 1916/17 ist von einer grossen Hungersnot geprägt und erhält deshalb den Namen «Kohlrübenwinter». Hunger und Kriegsmüdigkeit führen zur Schwächung der «inneren Front». Die Alliierten setzen gezielt darauf und erzwingen so nach dem Waffenstillstand die Unterzeichnung des Versailler Vertrags.",25---Steckruebenwinter,"Im Winter 1916/17, dem sogenannten Steckrübenwinter, wurde das Deutsche Reich von einer Hungersnot heimgesucht. Im Bild: Frauen stehen für einen Laib Brot in der Schlange.",Scherl / Deutsches Bundesarchiv,8. German Import and Export,
event_25,12.12.1916,,,52.520007,13.404954,Berlin,,Germany|Austria Hung|US,Friedensangebot der Mittelmächte,"Im Verlauf des Ersten Weltkriegs gibt es immer wieder Versuche, die Kriegshandlungen zu beenden. Der deutsche Reichskanzler Bethmann Hollweg ruft im Dezember 1916 im Reichstag zu Friedensverhandlungen auf. Der amerikanische Präsident Wilson regt darauffolgend Friedensgespräche an und fordert die Offenlegung der Kriegsziele aller Kriegsparteien. Die Alliierten weisen die deutsche Friedensinitiative aber am 30. Dezember zurück.",26---Reichskanzler-Hollweg,"Bildnis von Reichskanzler Theobald Bethmann-Hollweg. Er verlas am 12. Dezember 1916 im Reichstag die sogenannte Friedensnote der Mittelmächte, ein Friedensangebot, das ohne Folgen blieb.",Kunstanstalt Stengel / Staatsbibliothek Berlin / Europeana 1914-1918,,
event_26,01.02.1917,,,52.520007,13.404954,Berlin,,Germany|US|Mexico|UK,Deutschland erklärt den uneingeschränkten U-Boot-Krieg,"Der Einsatz von deutschen U-Booten gegen Handelsschiffe war eine Reaktion auf die Seeblockade der Nordsee durch die Briten und sollte die gegnerische Seite schwächen. Die britische Regierung veröffentlicht zeitgleich das «Zimmermann-Telegramm». Dieses belegt den deutschen Versuch, Mexiko zum Kriegseintritt zu bewegen. Daraufhin brechen die USA am 3. Februar die diplomatischen Beziehungen zu Deutschland ab. Die USA entschliessen sich zur Kriegserklärung an Deutschland am 6. April 1917.",27---Zimmermann_Telegram,Ein Telegramm des deutschen Aussenministers Arthur Zimmermann an den deutschen Botschafter in Mexiko vom 19. Januar 1917. In der chiffrierten Nachricht schlägt der Minister eine Militärallianz gegen die USA vor.,U.S. National Archives,,
event_27,08.03.1917,,,59.93428,30.335099,St. Petersburg,,Switzerland|Russia,Februarrevolution in Russland,"Aus Demonstrationen hungernder Arbeiter entwickelt sich ein Aufstand, der auf andere Städte Russlands übergreift. In St. Petersburg beginnt schliesslich die Russische Revolution. Zar Nikolaus II. dankt ab und wird verhaftet. Ein Jahr später werden er und seine Familie von Bolschewisten ermordet. Am 9. April reist Lenin, unterstützt von einer im Exil lebenden Gruppe Bolschewisten, aus dem Schweizer Exil zurück nach Russland.",28---Februarrevolution_in_Russland-1917,Demonstration von Arbeiterinnen und Arbeitern der Putilow-Werke in Petrograd (dem heutigen St. Petersburg) am 23. Februar 1917.,"Staatliches Museum für politische Geschichte, St. Petersburg",,
event_28,06.04.1917,,,38.907231,-77.036464,Washington DC,,US|Greece|Germany,Kriegseintritt der USA und Griechenlands,Sowohl politisch als auch wirtschaftlich sind die bis anhin neutralen USA als wichtigster Waffen- und Rohstofflieferant eng mit den Alliierten verbunden. Es besteht deshalb finanzielles Interesse der USA am Sieg der Entente. Der uneingeschränkte U-Boot-Krieg Deutschlands führt im April 1917 zur Kriegserklärung der USA. Weitere Länder tun es den USA gleich. Griechenland tritt aufseiten der Alliierten in den Krieg ein.,29---USA-Kriegseintritt,Junge Männer tragen sich 1917 in New York City für den Militärdienst ein.,Bain News Service / Library of Congress,,
event_29,01.08.1917,,,41.872389,12.48018,Vatikan,,,Friedensnote des Papstes Benedikts XV.,Papst Benedikt XV. entsendet am dritten Jahrestag des Kriegsbeginns eine Friedensnote. Zuvor hatte das Oberhaupt der katholischen Kirche den Weltkrieg bereits als «unnötiges Massaker» umschrieben. Bei allen Kriegsparteien stösst sein diplomatischer Vermittlungsversuch auf Ablehnung,30---Papst-Benedikt_XV,Papst Benedikt XV.,PD,,
event_30,14.08.1917,,,36.067082,120.38264,Tsingtau,,ManchuEmpire|Germany|Austria Hung|Japan|France,Kriegserklärung Chinas an Deutschland und Österreich-Ungarn        ,Die Grossmächte rivalisieren seit Mitte des 19. Jahrhunderts um Einflusssphären und Stützpunkte in Asien. China ist das Objekt machtpolitischer Interessen der europäischen Länder. Nach der japanischen Einnahme der deutschen Kolonie Kiautschou mit der Hauptstadt Tsingtau an der chinesischen Küste will China sein Territorium gegen Japan sichern. Peking erklärt den Mittelmächten Deutschland und Österreich-Ungarn erst im August 1917 den Krieg. Doch innere Wirren halten China von einem militärischen Einsatz ab. China unterstützt aber die französische Industrie.,31---China-zieht-in-den-Krieg,Ein chinesisches Arbeitsbataillon auf dem Weg zur Alliierten-Front.,"Illustrated London News & Sketch, London, 1918 / gwpda.org",,
event_31,07.11.1917,,,59.93428,30.335099,St. Petersburg,,Russia,Oktoberrevolution in Russland ,"Soldaten besetzen wichtige Gebäude in St. Petersburg und stürmen das Winterpalais, den Ort, an dem sich die Regierung und letzte Verbündete aufhalten. In Russland beginnt damit die Oktoberrevolution. Die Bolschewiki übernehmen die Macht und bauen eine Räterepublik auf. Sie treten mit den Mittelmächten in Verhandlungen für einen Waffenstillstand.",32---Oktoberrevolution,Mit Maschinengewehren wird gegen die Teilnehmer der Oktoberrevolution in Petrograd vorgegangen.,United Archives / Imago,,
event_32,08.01.1918,,,38.907231,-77.036464,Washington DC,,US|Austria Hung|Germany,Vierzehn-Punkte-Plan der USA,Der amerikanische Präsident Wilson präsentiert mit den «Vierzehn Punkten» vor beiden Häusern des amerikanischen Kongresses seinen Friedensplan. Im Mittelpunkt steht für Wilson das Selbstbestimmungsrecht der Nationen. Die Mittelmächte lehnen die Friedensbemühungen letztlich ab. Die deutsche Bevölkerung empfindet die hohen Reparationsforderungen und die Zuschreibung der einseitigen Kriegsschuld Deutschlands als ungerecht. Im selben Monat kommt es in Deutschland und Österreich-Ungarn zu Streiks und Demonstrationen.,33---wilson,Der amerikanische Präsident Thomas Woodrow Wilson.,Keystone,friedensvertrag-brest-litowsk,Die zwei Seiten des Friedensvertrags von Brest-Litowsk.
event_33,03.03.1918,,,52.133333,23.666667,Brest-Litowsk,,Bulgaria|Austria Hung|Germany|TurkishEmpir|Russia,Friedensvertrag von Brest-Litowsk,"Die Sowjetregierung schliesst unter Protest und militärischem Druck Deutschlands mit den Mittelmächten Deutschland, Österreich-Ungarn, Bulgarien sowie der Türkei den Friedensvertrag von Brest-Litowsk. Russland tritt fast ein Drittel seines Gebiets mit rund 60 Millionen Einwohnern ab, darunter Polen, die baltischen Länder, Finnland und die Ukraine. Aber auch Rohstoff- und Industriepotenzial gibt Russland preis. Doch brachte der Separatfrieden nicht den erhofften wirtschaftlichen, politischen und militärischen Nutzen für die Mittelmächte.",34---Brest-Litowsk,"Deutsche Offiziere begrüssen die sowjetische Delegation mit Trotzki auf dem Bahnhof von Brest-Litowsk, 7. Januar 1918. (Scan: «Der Spiegel», 2008)",PD,,
event_34,21.03.1918,,,49.663613,2.528073,Picardie,,France|Germany|UK,Beginn der deutschen Frühjahrsoffensiven       ,"Nach dem Frieden im Osten will Deutschland mit einer Grossoffensive im Westen eine Entscheidung erzwingen und beginnt die breit angelegte Frühjahrsoffensive in der französischen Picardie. Artillerie und Flieger kommen verstärkt zum Einsatz. Alle verfügbaren deutschen Kräfte werden gebündelt, und so sind die deutschen Divisionen und die französisch-britische Streitmacht numerisch fast gleich gut aufgestellt. Die Angriffe werden bis Juli fortgesetzt. Es folgt erneut ein Stellungskrieg.",35---Westfront-Stellungskrieg,"Eine deutsche Infanteriedivision passiert  Schützengräben, die sie von den Briten erobert haben.",Deutsches Bundesarchiv,,
event_35,18.07.1918,,,49.373059,3.33166,Zwischen Soissons und Reims,,France|Germany|UK|US,Beginn der alliierten Gegenoffensive,"Zwischen Soissons und Reims beginnen die Alliierten ihre Gegenoffensive. Die amerikanischen Truppen treffen ein und erleben einen bereits ermüdeten Gegner. In der Schlacht bei Amiens setzen die Alliierten 450 Panzer ein. Unter Dauerbeschuss werden die deutschen Truppen zurückgedrängt. Als der militärische Zusammenbruch als nicht vermeidbar scheint, fordert die Oberste Heeresleitung Deutschlands Waffenstillstandsverhandlungen.",36--Gegenoffensive-kriegsgefangene,Deutsche Kriegsgefangene nach der zweiten Schlacht an der Somme.,United Archives / Imago,,
event_36,09.11.1918,,,52.520007,13.404954,Berlin,,Germany,Ausrufung der Republik       ,Der deutsche Kaiser Wilhelm II. dankt ab und flüchtet mit seinem Hofstaat in die neutralen Niederlande. Am 28. November unterzeichnet er dort die Abdankungserklärung. Der Sozialdemokrat Philipp Scheidemann ruft vom Balkon des Reichstags in Berlin am 11. November die Republik aus. Kurz darauf ruft Karl Liebknecht die Sozialistische Republik aus. Friedrich Ebert von der SPD wird am 11. November zum Vorsitzenden des Rates des Volksbeauftragten benannt.,37---Ausrufung_Republik_Scheidemann,9. November 1918: Philipp Scheidemann ruft auf dem Westbalkon des Reichstages die Republik aus.,Erich Greifer,,
event_37,11.11.1918,,,49.417816,2.826145,Compiègne,,France|Germany|UK|Italy|US,Waffenstillstand im Wald von Compiègne,"Im Namen der zivilen Regierung unterzeichnet Matthias Erzberger von der Zentrumspartei für Deutschland den Waffenstillstandsvertrag im Wald von Compiègne nördlich von Paris. Damit wird der Grundstein für die «Dolchstosslegende» gelegt. Rechts stehende Kreise verbreiteten die unwahre Behauptung, die deutsche Niederlage sei nicht aus militärischen oder wirtschaftlichen Gründen erfolgt, sondern allein Schuld der deutschen demokratischen Politiker und der revolutionären Unruhen.",38---Waffenstillstand-Compiegne,"Der französische Marschall Ferdinand Foch (untere Reihe, Zweiter von rechts) macht sich nach der Unterzeichnung des Waffenstillstands mit Deutschland auf den Weg nach Paris.",Imago,,
